WKT,InputID,TargetID,Distance
"MULTIPOINT ((-72.534301 -35.737503),(-71.564319 -35.447493))",HUILQUILEMU,CHANCO,93608.3509475304
"MULTIPOINT ((-72.576705 -35.815496),(-71.564319 -35.447493))",HUILQUILEMU,PELLUHUE,100381.687188357
"MULTIPOINT ((-72.708459 -35.937406),(-71.564319 -35.447493))",HUILQUILEMU,QUILICURA,116956.830218829
"MULTIPOINT ((-71.564319 -35.447493),(-71.240234 -34.978782))",HUILQUILEMU,CURICO,59789.7568484305
"MULTIPOINT ((-71.564319 -35.447493),(-71.197073 -34.940164))",HUILQUILEMU,SARMIENTO,65472.3921300709
"MULTIPOINT ((-71.564319 -35.447493),(-71.331099 -34.936378))",HUILQUILEMU,VILLA LOS NICHES,60552.6662125893
"MULTIPOINT ((-71.564319 -35.447493),(-71.10015 -34.96288))",HUILQUILEMU,SAN ALBERTO,68389.7638630133
"MULTIPOINT ((-71.803596 -34.974238),(-71.564319 -35.447493))",HUILQUILEMU,HUALA�E,56845.7708393109
"MULTIPOINT ((-71.984569 -34.984839),(-71.564319 -35.447493))",HUILQUILEMU,LICANTEN,64020.8629435983
"MULTIPOINT ((-72.186743 -34.946222),(-71.564319 -35.447493))",HUILQUILEMU,ILOCA,79408.9308343988
"MULTIPOINT ((-71.564319 -35.447493),(-71.283395 -35.115836))",HUILQUILEMU,MOLINA,44800.5377054258
"MULTIPOINT ((-71.564319 -35.447493),(-71.358358 -35.137795))",HUILQUILEMU,ITAHUE UNO,39135.3440548013
"MULTIPOINT ((-71.564319 -35.447493),(-71.318226 -34.924263))",HUILQUILEMU,RAUCO,62226.2892187022
"MULTIPOINT ((-71.564319 -35.447493),(-71.133468 -34.961366))",HUILQUILEMU,ROMERAL,66693.4494390018
"MULTIPOINT ((-71.564319 -35.447493),(-71.332613 -35.004527))",HUILQUILEMU,SAGRADA  FAMILIA,53480.3094287206
"MULTIPOINT ((-71.606722 -35.090848),(-71.564319 -35.447493))",HUILQUILEMU,VILLA PRAT,39755.815500119
"MULTIPOINT ((-71.564319 -35.447493),(-71.166785 -34.871258))",HUILQUILEMU,TENO,73476.6487590319
"MULTIPOINT ((-72.082248 -34.762977),(-71.564319 -35.447493))",HUILQUILEMU,LLICO,89425.1067047404
"MULTIPOINT ((-71.993655 -34.881859),(-71.564319 -35.447493))",HUILQUILEMU,LAGO VICHUQUEN,73945.3699410745
"MULTIPOINT ((-71.590821 -35.84957),(-71.564319 -35.447493))",HUILQUILEMU,LINARES,44675.9626228601
"MULTIPOINT ((-71.564319 -35.447493),(-71.501471 -35.828368))",HUILQUILEMU,VARA GRUESA,42640.622451831
"MULTIPOINT ((-71.684715 -35.848055),(-71.564319 -35.447493))",HUILQUILEMU,LAS OBRAS,45761.2774180479
"MULTIPOINT ((-71.564319 -35.447493),(-71.405305 -35.695857))",HUILQUILEMU,COLBUN,31098.5798318866
"MULTIPOINT ((-71.564319 -35.447493),(-71.417421 -35.760219))",HUILQUILEMU,PANIMAVIDA,37163.0275351156
"MULTIPOINT ((-71.683957 -35.966937),(-71.564319 -35.447493))",HUILQUILEMU,LONGAVI,58642.2555168959
"MULTIPOINT ((-71.826312 -36.146395),(-71.564319 -35.447493))",HUILQUILEMU,PARRAL,81082.4471285947
"MULTIPOINT ((-71.760435 -36.052501),(-71.564319 -35.447493))",HUILQUILEMU,RETIRO,69432.2854734329
"MULTIPOINT ((-71.802082 -36.092633),(-71.564319 -35.447493))",HUILQUILEMU,COPIHUE,74740.2916930171
"MULTIPOINT ((-71.73204 -35.592498),(-71.564319 -35.447493))",HUILQUILEMU,SAN JAVIER,22142.3328619267
"MULTIPOINT ((-71.699102 -35.561074),(-71.564319 -35.447493))",HUILQUILEMU,BOBADILLA,17559.3913717307
"MULTIPOINT ((-71.744913 -35.674655),(-71.564319 -35.447493))",HUILQUILEMU,VILLA ALEGRE,30054.9410973812
"MULTIPOINT ((-71.590064 -35.752269),(-71.564319 -35.447493))",HUILQUILEMU,YERBAS BUENAS,33895.7642293718
"MULTIPOINT ((-72.412391 -35.335426),(-71.661999 -35.432349))",CONSTITUCION,TALCA,69023.0636402759
"MULTIPOINT ((-72.412391 -35.335426),(-71.596878 -35.366472))",CONSTITUCION,PANGUILEMO,74207.2047214158
"MULTIPOINT ((-72.412391 -35.335426),(-71.564319 -35.447493))",CONSTITUCION,HUILQUILEMU,78044.9429243968
"MULTIPOINT ((-72.412391 -35.335426),(-72.333641 -35.427048))",CONSTITUCION,SANTA OLGA,12431.1053826251
"MULTIPOINT ((-72.494926 -35.469452),(-72.412391 -35.335426))",CONSTITUCION,LOS PELLINES,16653.0814893846
"MULTIPOINT ((-72.412391 -35.335426),(-72.020157 -35.096149))",CONSTITUCION,CUREPTO,44497.8754010726
"MULTIPOINT ((-72.412391 -35.335426),(-72.281394 -35.592119))",CONSTITUCION,EMPEDRADO,30862.4076250746
"MULTIPOINT ((-72.412391 -35.335426),(-71.695315 -35.520942))",CONSTITUCION,MAULE,68293.0328687655
"MULTIPOINT ((-72.412391 -35.335426),(-71.692287 -35.458094))",CONSTITUCION,CULENAR,66818.6266684746
"MULTIPOINT ((-72.412391 -35.335426),(-71.702888 -35.449764))",CONSTITUCION,VILLA FRANCIA,65694.6050752851
"MULTIPOINT ((-72.412391 -35.335426),(-71.688501 -35.498226))",CONSTITUCION,CHACARILLAS,68181.5532812865
"MULTIPOINT ((-72.412391 -35.335426),(-71.446951 -35.383887))",CONSTITUCION,PELARCO,87910.0991408474
"MULTIPOINT ((-72.412391 -35.335426),(-71.807382 -35.392217))",CONSTITUCION,PENCAHUE,55344.3327339119
"MULTIPOINT ((-72.412391 -35.335426),(-71.256893 -35.281664))",CONSTITUCION,CUMPEO,105254.349540721
"MULTIPOINT ((-72.412391 -35.335426),(-71.487841 -35.534572))",CONSTITUCION,SAN CLEMENTE,86809.8658034372
"MULTIPOINT ((-72.412391 -35.335426),(-71.523429 -35.309681))",CONSTITUCION,SAN RAFAEL,80882.1525974009
"MULTIPOINT ((-72.412391 -35.335426),(-72.320012 -35.966937))",CONSTITUCION,CAUQUENES,70565.3923644041
"MULTIPOINT ((-72.534301 -35.737503),(-72.412391 -35.335426))",CONSTITUCION,CHANCO,45960.167705455
"MULTIPOINT ((-72.576705 -35.815496),(-72.412391 -35.335426))",CONSTITUCION,PELLUHUE,55307.5060473608
"MULTIPOINT ((-72.708459 -35.937406),(-72.412391 -35.335426))",CONSTITUCION,QUILICURA,71973.3014051165
"MULTIPOINT ((-72.412391 -35.335426),(-71.240234 -34.978782))",CONSTITUCION,CURICO,113892.083081488
"MULTIPOINT ((-72.412391 -35.335426),(-71.197073 -34.940164))",CONSTITUCION,SARMIENTO,119121.742346801
"MULTIPOINT ((-72.412391 -35.335426),(-71.331099 -34.936378))",CONSTITUCION,VILLA LOS NICHES,108032.562457984
"MULTIPOINT ((-72.412391 -35.335426),(-71.10015 -34.96288))",CONSTITUCION,SAN ALBERTO,126514.712243934
"MULTIPOINT ((-72.412391 -35.335426),(-71.803596 -34.974238))",CONSTITUCION,HUALA�E,68430.2879535819
"MULTIPOINT ((-72.412391 -35.335426),(-71.984569 -34.984839))",CONSTITUCION,LICANTEN,55065.2793355812
"MULTIPOINT ((-72.412391 -35.335426),(-72.186743 -34.946222))",CONSTITUCION,ILOCA,47826.0391654057
"MULTIPOINT ((-72.412391 -35.335426),(-71.283395 -35.115836))",CONSTITUCION,MOLINA,105627.464863672
"MULTIPOINT ((-72.412391 -35.335426),(-71.358358 -35.137795))",CONSTITUCION,ITAHUE UNO,98415.92987342
"MULTIPOINT ((-72.412391 -35.335426),(-71.318226 -34.924263))",CONSTITUCION,RAUCO,109662.713951993
"MULTIPOINT ((-72.412391 -35.335426),(-71.133468 -34.961366))",CONSTITUCION,ROMERAL,123706.596138105
"MULTIPOINT ((-72.412391 -35.335426),(-71.332613 -35.004527))",CONSTITUCION,SAGRADA  FAMILIA,104993.104192959
"MULTIPOINT ((-72.412391 -35.335426),(-71.606722 -35.090848))",CONSTITUCION,VILLA PRAT,78214.1918404708
"MULTIPOINT ((-72.412391 -35.335426),(-71.166785 -34.871258))",CONSTITUCION,TENO,124694.479206875
"MULTIPOINT ((-72.412391 -35.335426),(-72.082248 -34.762977))",CONSTITUCION,LLICO,70288.7609152705
"MULTIPOINT ((-72.412391 -35.335426),(-71.993655 -34.881859))",CONSTITUCION,LAGO VICHUQUEN,63161.7325216778
"MULTIPOINT ((-72.412391 -35.335426),(-71.590821 -35.84957))",CONSTITUCION,LINARES,93795.283082825
"MULTIPOINT ((-72.412391 -35.335426),(-71.501471 -35.828368))",CONSTITUCION,VARA GRUESA,99034.3776184041
"MULTIPOINT ((-72.412391 -35.335426),(-71.684715 -35.848055))",CONSTITUCION,LAS OBRAS,87085.1647642002
"MULTIPOINT ((-72.412391 -35.335426),(-71.405305 -35.695857))",CONSTITUCION,COLBUN,99723.1404999433
"MULTIPOINT ((-72.412391 -35.335426),(-71.417421 -35.760219))",CONSTITUCION,PANIMAVIDA,101787.663212139
"MULTIPOINT ((-72.412391 -35.335426),(-71.683957 -35.966937))",CONSTITUCION,LONGAVI,96233.6330831758
"MULTIPOINT ((-72.412391 -35.335426),(-71.826312 -36.146395))",CONSTITUCION,PARRAL,104436.468814301
"MULTIPOINT ((-72.412391 -35.335426),(-71.760435 -36.052501))",CONSTITUCION,RETIRO,99055.6816858319
"MULTIPOINT ((-72.412391 -35.335426),(-71.802082 -36.092633))",CONSTITUCION,COPIHUE,100539.852923523
"MULTIPOINT ((-72.412391 -35.335426),(-71.73204 -35.592498))",CONSTITUCION,SAN JAVIER,68023.4973137104
"MULTIPOINT ((-72.412391 -35.335426),(-71.699102 -35.561074))",CONSTITUCION,BOBADILLA,69428.4197563291
"MULTIPOINT ((-72.412391 -35.335426),(-71.744913 -35.674655))",CONSTITUCION,VILLA ALEGRE,71299.1817701398
"MULTIPOINT ((-72.412391 -35.335426),(-71.590064 -35.752269))",CONSTITUCION,YERBAS BUENAS,87745.9843554569
"MULTIPOINT ((-72.333641 -35.427048),(-71.661999 -35.432349))",SANTA OLGA,TALCA,60993.4379784309
"MULTIPOINT ((-72.333641 -35.427048),(-71.596878 -35.366472))",SANTA OLGA,PANGUILEMO,67267.9007653496
"MULTIPOINT ((-72.333641 -35.427048),(-71.564319 -35.447493))",SANTA OLGA,HUILQUILEMU,69890.9845906393
"MULTIPOINT ((-72.412391 -35.335426),(-72.333641 -35.427048))",SANTA OLGA,CONSTITUCION,12431.1053826251
"MULTIPOINT ((-72.494926 -35.469452),(-72.333641 -35.427048))",SANTA OLGA,LOS PELLINES,15379.9105241416
"MULTIPOINT ((-72.333641 -35.427048),(-72.020157 -35.096149))",SANTA OLGA,CUREPTO,46491.6820664969
"MULTIPOINT ((-72.333641 -35.427048),(-72.281394 -35.592119))",SANTA OLGA,EMPEDRADO,18917.9973431884
"MULTIPOINT ((-72.333641 -35.427048),(-71.695315 -35.520942))",SANTA OLGA,MAULE,58862.6447970566
"MULTIPOINT ((-72.333641 -35.427048),(-71.692287 -35.458094))",SANTA OLGA,CULENAR,58332.7295990657
"MULTIPOINT ((-72.333641 -35.427048),(-71.702888 -35.449764))",SANTA OLGA,VILLA FRANCIA,57326.8198879756
"MULTIPOINT ((-72.333641 -35.427048),(-71.688501 -35.498226))",SANTA OLGA,CHACARILLAS,59090.2238603454
"MULTIPOINT ((-72.333641 -35.427048),(-71.446951 -35.383887))",SANTA OLGA,PELARCO,80684.9432338551
"MULTIPOINT ((-72.333641 -35.427048),(-71.807382 -35.392217))",SANTA OLGA,PENCAHUE,47956.473937695
"MULTIPOINT ((-72.333641 -35.427048),(-71.256893 -35.281664))",SANTA OLGA,CUMPEO,99188.475376033
"MULTIPOINT ((-72.333641 -35.427048),(-71.487841 -35.534572))",SANTA OLGA,SAN CLEMENTE,77678.4430231756
"MULTIPOINT ((-72.333641 -35.427048),(-71.523429 -35.309681))",SANTA OLGA,SAN RAFAEL,74772.1206762475
"MULTIPOINT ((-72.333641 -35.427048),(-72.320012 -35.966937))",SANTA OLGA,CAUQUENES,59915.2170980128
"MULTIPOINT ((-72.534301 -35.737503),(-72.333641 -35.427048))",SANTA OLGA,CHANCO,38951.9617156331
"MULTIPOINT ((-72.576705 -35.815496),(-72.333641 -35.427048))",SANTA OLGA,PELLUHUE,48398.3445703069
"MULTIPOINT ((-72.708459 -35.937406),(-72.333641 -35.427048))",SANTA OLGA,QUILICURA,66012.9461572092
"MULTIPOINT ((-72.333641 -35.427048),(-71.240234 -34.978782))",SANTA OLGA,CURICO,111296.474664108
"MULTIPOINT ((-72.333641 -35.427048),(-71.197073 -34.940164))",SANTA OLGA,SARMIENTO,116767.011400574
"MULTIPOINT ((-72.333641 -35.427048),(-71.331099 -34.936378))",SANTA OLGA,VILLA LOS NICHES,106311.087676874
"MULTIPOINT ((-72.333641 -35.427048),(-71.10015 -34.96288))",SANTA OLGA,SAN ALBERTO,123575.160144067
"MULTIPOINT ((-72.333641 -35.427048),(-71.803596 -34.974238))",SANTA OLGA,HUALA�E,69667.2679741025
"MULTIPOINT ((-72.333641 -35.427048),(-71.984569 -34.984839))",SANTA OLGA,LICANTEN,58457.5405344196
"MULTIPOINT ((-72.333641 -35.427048),(-72.186743 -34.946222))",SANTA OLGA,ILOCA,54997.0223645646
"MULTIPOINT ((-72.333641 -35.427048),(-71.283395 -35.115836))",SANTA OLGA,MOLINA,101603.244437753
"MULTIPOINT ((-72.333641 -35.427048),(-71.358358 -35.137795))",SANTA OLGA,ITAHUE UNO,94349.5861697779
"MULTIPOINT ((-72.333641 -35.427048),(-71.318226 -34.924263))",SANTA OLGA,RAUCO,108013.71343858
"MULTIPOINT ((-72.333641 -35.427048),(-71.133468 -34.961366))",SANTA OLGA,ROMERAL,120896.157274568
